,score
ZNF300,2.219677108588968
SPNS3,2.2195186242108775
SPIRE2,2.219223065205938
GPRASP1,2.219116016449732
ZSCAN12,2.2187379515741554
FAM124A,2.2180515340618
AC073389.1,2.217284177245972
ACE,2.2162969788381304
NLRX1,2.2161011579426315
KIF27,2.2159468510769784
DDB2,2.215486019236238
FAM215B,2.2151552124701084
ZFHX3,2.2146510389378307
ADCY9,2.2139544387389094
TNFSF4,2.213508750380754
ZNF710-AS1,2.213145045704181
AC107375.1,2.212897266997743
AC105446.1,2.2128150222216334
TRGV10,2.212224426400809
SIRT2,2.212087612868487
LMO2,2.212051581823715
AC087190.1,2.2119573266993484
SMYD3,2.2116137263013798
AC116407.2,2.211467513366074
LINC00937,2.2113001517740543
DUOX1,2.2111625549581504
ZFR2,2.2104173911771454
GDAP2,2.209542724510584
AC099778.1,2.2094077386399533
LILRA4,2.20938554560513
ARHGAP32,2.2092333274956957
HOTAIRM1,2.209205390381271
DEF6,2.208914792172351
GTPBP1,2.208779545207193
AC008267.5,2.2087774564509743
AC010331.1,2.2086281103813405
TENM1,2.2081448244112494
N4BP2,2.208073023416233
WDR35,2.2078048793366634
GPR108,2.207706968888914
DNAH14,2.207432558540688
ITGB2-AS1,2.206372514759721
PTK2,2.2061704275955663
AC084018.2,2.2061508455060164
HIVEP3,2.2058936673965945
PIK3R3,2.2048558166504506
POC5,2.204191331078391
ZNF211,2.204147206103272
ATG4D,2.204075666202783
KLF10,2.203099955954144
RARRES2,2.2030822015262856
IL2,2.2030090950586327
GTPBP8,2.2028626210287996
BSPRY,2.202715885904439
REC8,2.2020882146607335
TTLL5,2.2018662843125014
PNOC,2.201200232173278
ZNF490,2.2010245155563837
TMEM67,2.200936004511618
AC016831.7,2.2006775209295597
ZNF671,2.19992400212368
DERL3,2.1999078142629855
SSBP2,2.199686145009281
AC091271.1,2.199369959536682
GRAMD2B,2.1992673493874406
CCDC191,2.1985879814273233
DNAJC28,2.198503647894995
AL356481.1,2.1984086094870463
AC104506.1,2.198096601526885
ZNF565,2.1980182731686853
AC022726.2,2.1974532646115392
LRP11,2.1974323770493527
ZNF665,2.1971976530692814
TMEM158,2.1970775495867088
INTS6-AS1,2.197007837347911
TTLL3,2.196926636949911
PCGF6,2.196720633367846
AC087239.1,2.196682774661383
HCAR3,2.1965720705817944
TPM2,2.1957906146614903
HIST1H4E,2.195767638343085
PHKG1,2.1955154210296826
FLT3,2.195336310183933
ANKMY1,2.195306545407817
MAPK8,2.195292446303341
THY1,2.194795844512356
ZNF80,2.1941099491890554
AC008686.1,2.1932940287911435
ZNF527,2.193244681925478
C21orf58,2.1929791487911814
NUDT17,2.1926292821245568
SRGAP1,2.1924640092887557
C11orf54,2.1923765426220996
ABCC5,2.1922444287912697
ZNF138,2.1915548781445864
POLE,2.1915115364530493
AC097534.2,2.191197961925724
RYK,2.1911945676968685
ZNF578,2.1910102349605722
AL080317.2,2.1909018807317295
PCAT1,2.190866110781485
AC011825.4,2.1903517545626414
PLEKHG2,2.189871732274142
PWAR6,2.1896761724731704
CALD1,2.1895041111796587
ST3GAL3,2.189197716751835
AKAP7,2.1891392315777125
KLF11,2.1886914544633385
LNX2,2.188248899239511
SCT,2.1881764455081765
PHLDA2,2.1880385875977453
TNFRSF8,2.187837805906227
KIAA1147,2.1875841525729243
AC104389.4,2.187076323717264
ASPM,2.186950867796881
MFSD9,2.1863547889909825
CEACAM21,2.1862613171501977
CD1D,2.1861457828218533
AL031777.3,2.185500879339344
POLI,2.1851755555582884
ARHGEF37,2.1849973585433844
ANKHD1-EIF4EBP3,2.1841071567524466
MITD1,2.1839391424241086
AC021054.1,2.183840057050986
KIAA1958,2.1837703448121886
BTG3,2.1836505024241433
KIR3DL2,2.1836242624241464
LRRC6,2.1833416275983097
TNFRSF17,2.1832100359565345
ZNF345,2.182861344215283
AC021752.1,2.1827223113794787
ATP8B4,2.1818943806333095
AL118516.1,2.181429632374659
TRBV6-2,2.181186945011504
IFT74,2.1810727161557963
IL22,2.180986424414513
ING1,2.18085953247423
AC009053.2,2.1806694556583324
AL135925.1,2.1802634536683314
HSD17B1,2.1802458297877365
AL360270.1,2.179895571479321
PRRT2,2.1797031448126774
LCN15,2.1796104562554746
GLI4,2.1793553669022714
SERTAD1,2.1793214246137182
SYCE1L,2.178509159539189
IL1RN,2.1784676455093432
AGK,2.177728878544258
POMC,2.1769616522756934
AF131216.1,2.1769014699871434
MYO15B,2.1766215766538437
CXCL6,2.1764531706837147
ZNF350,2.176024322922572
ZNF595,2.1755560498878026
GTF2IRD1,2.175514927499748
ZNF674-AS1,2.1750155842162258
CDKN2A,2.1747296857087974
KCTD5,2.174621200932691
RBM43,2.174528642922752
TIGD7,2.1741095862063844
DST,2.1740653306840017
AC002553.2,2.173994835161622
LGALSL,2.1737746019278177
PBX1,2.173442359141788
RAD51B,2.173397842524878
PRDM10,2.173244580037334
HCFC2,2.1731982357587327
CDC14B,2.1723614277986343
ITGA2,2.1716216164554396
FLT4,2.171526839142018
NAP1L2,2.1713175718783617
ZNF571,2.1711956407340978
TESC,2.171061960336104
ZNF620,2.1710438142664543
STXBP4,2.1709957728734253
P2RY14,2.170855956754039
KLC4,2.170731806306293
AP1AR,2.170423453669514
AC099791.2,2.1703504777491247
CHN2,2.1699606636198183
C8orf44,2.1688301243164716
ZFYVE27,2.168799054067719
AL353194.1,2.1685752960577958
HCG11,2.1681799989434154
AC010618.3,2.1681447511822256
ARL13B,2.1680694254110904
SCAI,2.1678157720777875
VCAM1,2.1676207344658707
ARAP1,2.1674660359584266
AC242426.2,2.1669181290928208
ST3GAL4,2.1668931945654606
CAPN10-DT,2.1667229609336403
KIFC3,2.165590985610393
APOBEC3A,2.1654506473019524
AP4B1-AS1,2.1650593971527456
AC023509.2,2.164999084316932
ZNF526,2.1644949107846543
ZNF550,2.164109404715049
WASL,2.1639621474016337
MFSD4B,2.163782644914093
PDGFA,2.1635766413320283
AC110769.2,2.163287609690272
MLLT11,2.163134869391783
AC012360.3,2.162982129093294
ZNF549,2.162809023421673
TMEM50B,2.16269675277492
ZBTB20-AS2,2.1626633326754217
CCL4L2,2.1625301744664824
LUCAT1,2.1624172510834114
OLFM2,2.1616548550636026
NTNG2,2.161596500436744
IRF2BP1,2.161446371083528
NDUFAF7,2.1611168697900354
ZNF841,2.161058384615913
HIVEP1,2.1608803181482727
ALG13-AS1,2.16067509784979
ARRDC3,2.1603009493921235
ERP27,2.1597061760588616
CENPU,2.159694687899659
CDKN2D,2.159540772675797
